Device,Available,Power,Initial,Final,Innovation,Imitation,Type,Scenario
NGOOfficeBlock,Y,100,0.0003125,0.0003125,0.0,0.0,Public,Base
UNHCR,Y,200,0.0003125,0.0003125,0.0,0.0,Public,Base
Bank,Y,50,0.0003125,0.0003125,0.0,0.0,Public,Base
WaterPump1,Y,6500,0.0003125,0.0003125,0.0,0.0,Public,Base
WaterPump2,Y,2500,0.0003125,0.0003125,0.0,0.0,Public,Base
HealthCentre,Y,1000,0.0003125,0.0003125,0.0,0.0,Public,Base
Salon1,Y,400,0.0003125,0.0003125,0.0,0.0,Commercial,Existent
Salon2,Y,125,0.0003125,0.0003125,0.0,0.0,Commercial,Existent
Restaurant1,Y,250,0.0003125,0.0003125,0.0,0.0,Commercial,Existent
Restaurant2,Y,125,0.0003125,0.0003125,0.0,0.0,Commercial,Existent
SewingCoop,Y,300,0.0003125,0.0003125,0.0,0.0,Commercial,Existent
ComputerLab,Y,250,0.0003125,0.0003125,0.0,0.0,Commercial,Existent
PopcornShop,N,250,0.0,0.0,0.0,0.0,Commercial,Additional
Bar,N,600,0.0,0.0,0.0,0.0,Commercial,Additional
WeldingShop,N,1500,0.0,0.0,0.0,0.0,Commercial,Additional
SchoolPrimary,N,800,0.0003125,0.0003125,0.0,0.0,Public,Advanced
ReceptionCentre,N,250,0.0003125,0.0003125,0.0,0.0,Public,Advanced
StationPolice,N,300,0.0003125,0.0003125,0.0,0.0,Public,Advanced
CentreVocational,N,3000,0.0003125,0.0003125,0.0,0.0,Public,Advanced
PostOffice,N,500,0.0003125,0.0003125,0.0,0.0,Public,Advanced
Hospital,N,2000,0.0003125,0.0003125,0.0,0.0,Public,Advanced
